Name,Code,ICAO
Alpine Flightservice,,FSE
Alrosa,6R,DRU
Altagna,,AGH
Altair,,MOM
Altair Airlines,,AQL
Altius Aviation,,STY
Amakusa Airlines,MZ,AHX
AMC Airlines,,AMV
AMC Aviation,,AMQ
Amelia,8R,AIA
Amelia International,NL,AEH
American Air Charter,,GTW
American Airlines,AA,AAL
American Jet,,AJB
American Jet International,,SCM
Ameriflight,A8,AMF
Amerijet International,M6,AJT
Ameristar,7Z,AJI
AMREF Flying Doctors,,FDS
AMS Airlines,,GEO
ANA Wings,EH,AKX
Anap Jets,,AJP
Anderson Air,,ADS
Andes Lineas Aereas,O4,ANS
Angara Airlines,,AGU
Anguilla Air Services,Q3,AXL
Animawings,A2,AWG
Antonov Airlines,,ADB
APG Airlines,GP,RIV
Arajet,DM,DWI
Arc en Ciel,,JMS
Archer Air,,AXR
Arcus Air,,AZE
Argentina - Air Force,,FAG
Ariana Afghan Airlines,FG,AFG
Ariella,EL,RIE
Arik Air,W3,ARA
Arkhangelsk Airlines,,OAO
Arkia Israeli Airlines,IZ,AIZ
Armenia Airways,6A,AMW
Armenian Airlines,JI,AAG
Aruba Airlines,AG,ARU
ASAS Linhas Aereas,,CEU
Ascend Airways,YD,SYG
ASG Business Aviation,,ESW
Asia Cargo Airlines,GM,TMG
Asia Pacific Airlines,P9,MGE
Asia Sky Lines,,LIC
Asia Union Airlines,7Q,AUV
Asian Express Airlines,RS,TXP
Asian Express General Aviation Wuxi,,WUA
Asiana Airlines,OZ,AAR
ASKY Airlines,KP,SKK
ASL Airlines,5H,ABR
ASL Airlines Australia,PH,PHA
ASL Airlines Belgium,3V,TAY
ASL Airlines France,5O,FPO
ASL Airlines UK,,ABV
Asta Linhas Aereas,0A,SUL
Astonfly,,BLT
Astonjet,,ASJ
Astonjet Malta,,AJD
Astral Aviation,8V,ACP
ATA Airlines,I3,TBZ
ATI Jet,,CYO
Atlanta Air Charter,,CTE
Atlantic Airways,RC,FLI
Atlantic Flight Training Academy,,AFZ
Atlantic Jets,,AJG
Atlas Air,5Y,GTI
Atlas Air Company,,MUR
Atlas Air Service,,ATL
ATM Information Service Japan,,ATO
ATP Flight School,,CXK
ATR,,EVX
Atran,V8,VAS
Atsa Airlines,4A,AMP
Auckland Rescue Helicopter,,WPR
Auric Air,UI,AUK
Aurigny Air Services,GR,AUR
Aurora,HZ,SHU
Aurora Flight Sciences,,AUU
Australia - Customs,,CUS
Australia - Federal Police,,FPL
Australia - Royal Australian Air Force,,ASY
Austria - Air Force,,ASF
Austrian Airlines,OS,AUA
Av8Jet,,AJO
AVA Airlines,,AXV
Avalair Aircraft Management,,ARR
Avanti Air,,ATV
AvCenter,,TTE
Avcon Jet,,AOJ
Avcon Jet Malta,,VCJ
Avcon Jet San Marino,,VAJ
Avelo Airlines,XP,VXP
Avia Traffic,YK,AVJ
Aviacon Zitotrans,ZR,AZS
Avianca,AV,AVA
Avianca Cargo,QT,TPA
Avianca Costa Rica,LR,LRC
Avianca Ecuador,2K,GLG
Avianca El Salvador,TA,TAI
Avianca Express,EX,AVR
Avianca Guatemala,GU,GUG
Aviastar,,VIT
Aviastar-TU,4B,TUP
Aviation Adventures,,AVL
Aviation Advisor,,LKF
Aviation Horizons,ZS,HZS
Aviator College,,WCP
AVIATOR.S5,,VIO
Aviatsa,,VVT
Avincis,,INR
Avincis Aviation Italia,,ELH
Avincis Aviation Norway,,BNO
Avincis Aviation Sweden,,DFL
Avion Express,X9,NVD
Avion Express Brasil,,AEB
Avion Express Malta,4X,MLH
Avionco US,,RJR
Avionord,,VND
Avior Airlines,9V,ROI
Aviostart,,VSR
AWA,,WEY
Awesome Cargo,A7,WIN
AXIS Aviation,,BQA
Axis Aviation San Marino,,AXS
Azerbaijan Airlines,J2,AHY
Azimuth,A4,AZO
Azman Air,ZU,AZM
Azores Airlines,S4,RZO
Aztec Airways,AJ,AZY
Azul,AD,AZU
Azul Conecta,2F,ACN
Azur Air,ZF,AZV
B. J. Aviation,,JSD
B.J. Aviation,,JSG
B2C Airways,,BTC
BA CityFlyer,CJ,CFE
BA Euroflyer,A0,EFW
BAA Training,,BFS
Babcock,,RHD
Babcock MCS France,,PTH
Backcountry Aviation,,SQH
Baden Aircraft Operations,,BAO
Badr Airlines,J4,BDR
BAe Systems,,BAE
BAE Systems Marine,,VSB
Bahamasair,UP,BHS
Bairline,,BRJ
Baker Aviation,,KOW
Bamboo Airways,QH,BAV
Bangkok Airways,PG,BKP
BankAir,,BKA
Bar XH Air,,BXH
Baron Aviation Services,,BVN
Bassaka Air,5B,BSX
Batik Air,ID,BTK
Batik Air Malaysia,OD,MXD
BBN Airlines,B5,BBT
BBN Airlines Indonesia,0B,BBL
Bearskin Airlines,JV,BLS
Bees Airlines,E8,BES
Beijing Airlines,,BJN
Bel Air Aviation,,BBX
Belavia,B2,BRU
Belgium - Air Force,,BAF
Belgium - Coast Guard,,BCG
Belgium - Gendarmerie,,GDB
Belgium - Navy,,NYB
Bell Helicopter,,TXH
BellAir,,TCN
Bemidji Airlines,CH,BMJ
Benin Airlines,PL,ABT
beOnd,B4,BYD
Bering Air,8E,BRG
Berjaya Air,J8,BVT
BermudAir,2T,BMA
Berniq Airways,NB,BNL
Berry Aviation,,BYA
Best Jets International,,DOW
Bestfly Aruba,,BFY
BH Air,8H,BGH
Bhutan Airlines,B3,BTN
Big Bend Community College Aviation,,BGB
Bighorn Airways,,BHR
Biman Bangladesh Airlines,BG,BBC
BinAir,,BID
Binani Air,,BGL
Binter Canarias,NT,IBB
Bioflight,,BIO
Birdbase Aviation,,BAG
Blackbird Air,,BBB
Blessings Aviation Charter,,TJJ
Blue Bird Aviation,,BLB
Blue Dart Aviation,BZ,BDA
Blue Islands,SI,BCI
Blue Jet Airways,,BJQ
Blue Square Aviation,,BSG
Bluebird Airways,BZ,BBG
Bluebird Aviation,,BBZ
Bluesky Airways,,BSF
BlueSky Aviation,,SBK
Boeing,,BOE
Boliviana de Aviacion,OB,BOV
Bombardier,,BBA
Bombardier Montreal,,CDR
Bookajet,,BOO
